Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-1066,Cbafhzre,WK,1.26,12.0,416.2
Bond-1067,Fvanapvny,WK,1.92,12.0,344.7
Bond-1068,Sbirervta,WK,1.58,13.0,222.7
Bond-1069,Sbirervta,WK,4.86,13.0,272.0
Bond-1070,Sbirervta,WK,6.2,13.0,277.0
Bond-1071,Sbirervta,WK,6.97,13.0,282.5
Bond-1072,Sbirervta,WK,5.73,13.0,272.6
Bond-1073,Sbirervta,WK,14.41,13.0,386.1
Bond-1074,Sbirervta,WK,8.96,13.0,380.4
Bond-1075,Ugvyvgvrf,WK,2.33,13.0,456.8
Bond-1076,Cbafhzre,ET,7.85,7.0,187.6
Bond-1077,Cbafhzre,ET,2.18,7.0,160.6
Bond-1078,Cbafhzre,ET,13.68,12.0,638.9
Bond-1079,Cbafhzre,ET,1.89,13.0,449.8
Bond-1080,Cbafhzre,ET,4.14,13.0,531.1
Bond-1081,Cbafhzre,ET,7.04,12.0,481.6
Bond-1082,Dvirefvsvrq,ET,2.41,7.0,84.1
Bond-1083,Dvirefvsvrq,ET,7.73,7.0,122.3
Bond-1084,Dvirefvsvrq,ET,5.48,7.0,99.9
Bond-1085,Dvirefvsvrq,ET,1.46,7.0,77.4
Bond-1086,Dvirefvsvrq,ET,5.77,7.0,129.2
Bond-1087,Dvirefvsvrq,ET,3.22,7.0,93.3
Bond-1088,Dvirefvsvrq,ET,6.29,7.0,124.4
Bond-1089,Dvirefvsvrq,ET,2.01,7.0,78.8
Bond-1090,Dvirefvsvrq,ET,18.74,7.0,177.4
Bond-1091,Dvirefvsvrq,ET,7.13,7.0,126.6
Bond-1092,Dvirefvsvrq,ET,1.64,7.0,72.0
Bond-1093,Dvirefvsvrq,ET,3.77,7.0,90.1
Bond-1094,Dvirefvsvrq,ET,1.24,7.0,71.3
